Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI-b
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
5.81	0.526431	28.4095	31.31	20.0517	361.746
5.83	0.526431	28.4122	31.31	20.0517	361.781
5.84	0.526431	28.4136	31.31	20.0517	361.799
5.86	0.526431	28.4161	31.31	20.0517	361.831
5.88	0.526431	28.4177	31.31	20.0517	361.852
5.89	0.526431	28.4200	31.31	20.0517	361.880
5.91	0.526431	28.4219	31.31	20.0517	361.904
5.93	0.526431	28.4238	31.31	20.0517	361.929
5.94	0.526431	28.4262	31.31	20.0517	361.959
5.96	0.526431	28.4276	31.31	20.0517	361.977
5.98	0.526431	28.4306	31.31	20.0517	362.015
5.99	0.526431	28.4331	31.31	20.0517	362.047
6.01	0.526431	28.4349	31.31	20.0517	362.070
6.03	0.526431	28.4368	31.31	20.0517	362.095
6.04	0.526431	28.4390	31.31	20.0517	362.122
6.06	0.526431	28.4405	31.31	20.0517	362.142
6.08	0.526431	28.4426	31.31	20.0517	362.168
6.09	0.526431	28.4443	31.31	20.0517	362.190
6.11	0.526431	28.4508	31.31	20.0517	362.273

