Filename	10172024_PEGDA_PEGMEA_6,42_Aerosil380_20_LITFSI-a
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 6p42 aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Displacement	Force
min	MPa	%	°C	µm	N
6.81	0.557966	34.7513	30.55	492.353	20.0554
6.83	0.557966	34.7544	30.55	492.397	20.0554
6.84	0.557966	34.7569	30.55	492.432	20.0554
6.86	0.557966	34.7597	30.56	492.471	20.0554
6.88	0.557966	34.7626	30.56	492.513	20.0554
6.89	0.557966	34.7639	30.56	492.532	20.0554
6.91	0.557966	34.7672	30.56	492.577	20.0554
6.93	0.557966	34.7692	30.56	492.607	20.0554
6.94	0.557966	34.7710	30.56	492.632	20.0554
6.96	0.557966	34.7748	30.56	492.686	20.0554
6.98	0.557966	34.7758	30.56	492.700	20.0554
6.99	0.557966	34.7784	30.56	492.737	20.0554
7.01	0.557966	34.7794	30.57	492.751	20.0554
7.03	0.557966	34.7826	30.57	492.796	20.0554
7.04	0.557966	34.7832	30.57	492.805	20.0554
7.06	0.557966	34.7864	30.57	492.851	20.0554
7.08	0.557966	34.7874	30.57	492.864	20.0554
7.09	0.557966	34.7903	30.57	492.905	20.0554
7.11	0.557966	34.7906	30.57	492.910	20.0554
7.13	0.557966	34.7941	30.57	492.959	20.0554
7.14	0.557966	34.7949	30.57	492.971	20.0554
7.16	0.557966	34.7979	30.58	493.014	20.0554
7.18	0.557966	34.7979	30.58	493.014	20.0554
7.19	0.557966	34.8013	30.58	493.061	20.0554
7.21	0.557966	34.8018	30.58	493.068	20.0554
7.23	0.557966	34.8043	30.58	493.104	20.0554
7.24	0.557966	34.8060	30.58	493.128	20.0554
7.26	0.557966	34.8089	30.58	493.168	20.0554
7.28	0.557966	34.8096	30.58	493.178	20.0554
7.29	0.557966	34.8106	30.58	493.193	20.0554
7.31	0.557966	34.8134	30.59	493.232	20.0554
7.33	0.557966	34.8134	30.59	493.232	20.0554
7.34	0.557966	34.8172	30.59	493.286	20.0554
7.36	0.557966	34.8174	30.59	493.289	20.0554

