Filename	10172024_PEGDA_PEGMEA_15_Aerosil380_20_LITFSI
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA 15p aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
6.24	0.624722	25.5178	30.06	20.0582	448.172
6.26	0.624722	25.5192	30.06	20.0582	448.195
6.28	0.624722	25.5210	30.07	20.0582	448.229
6.29	0.624722	25.5222	30.07	20.0582	448.248
6.31	0.624722	25.5240	30.07	20.0582	448.281
6.33	0.624722	25.5252	30.07	20.0582	448.301
6.34	0.624722	25.5268	30.07	20.0582	448.331
6.36	0.624722	25.5282	30.07	20.0582	448.355
6.38	0.624722	25.5295	30.07	20.0582	448.377
6.39	0.624722	25.5312	30.07	20.0582	448.406
6.41	0.624722	25.5322	30.07	20.0582	448.425
6.43	0.624722	25.5342	30.07	20.0582	448.460
6.44	0.624722	25.5350	30.07	20.0582	448.474
6.46	0.624722	25.5370	30.07	20.0582	448.509
6.48	0.624722	25.5378	30.08	20.0582	448.523
6.49	0.624722	25.5396	30.08	20.0582	448.555
6.51	0.624722	25.5406	30.08	20.0582	448.573
6.53	0.624722	25.5420	30.08	20.0582	448.597
6.54	0.624722	25.5436	30.08	20.0582	448.624
6.56	0.624722	25.5444	30.08	20.0582	448.639
6.58	0.624722	25.5464	30.08	20.0582	448.675
6.59	0.624722	25.5471	30.08	20.0582	448.687
6.61	0.624722	25.5488	30.08	20.0582	448.716
6.63	0.624722	25.5500	30.08	20.0582	448.737
6.64	0.624722	25.5510	30.08	20.0582	448.754
6.66	0.624722	25.5527	30.08	20.0582	448.784
6.68	0.624722	25.5533	30.09	20.0582	448.795
6.69	0.624722	25.5550	30.09	20.0582	448.825
6.71	0.624722	25.5560	30.09	20.0582	448.843
6.73	0.624722	25.5573	30.09	20.0582	448.866
6.74	0.624722	25.5589	30.09	20.0582	448.893
6.76	0.624722	25.5597	30.09	20.0582	448.908
6.78	0.624722	25.5613	30.09	20.0582	448.936
6.79	0.624722	25.5624	30.09	20.0582	448.954
6.81	0.624722	25.5633	30.09	20.0582	448.971
6.83	0.624722	25.5651	30.09	20.0582	449.002
6.84	0.624722	25.5657	30.09	20.0582	449.013
6.86	0.624722	25.5671	30.10	20.0582	449.038
6.88	0.624722	25.5685	30.10	20.0582	449.061
6.89	0.624722	25.5690	30.10	20.0582	449.071
6.91	0.624722	25.5706	30.10	20.0582	449.098
6.93	0.624722	25.5717	30.10	20.0582	449.119

