Filename	10172024_PEGDA_PEGMEA_0_Aerosil380_20_LITFSI-b
Instrument name	DMA0850-00515
Operator	
rundate	10/7/2024
Sample name	mechanical test - PEGDA:PEGMEA no aer380 20percent LITFSI
Geometry name	Compression Clamp
Procedure name	DMA Conditioning Preload
	DMA Conditioning Temperature
	Strain Ramp Test
proceduresegments	Strain Ramp Test
[step]
Strain Ramp - 1
Step time	Stress	Strain	Temperature	Force	Displacement
min	MPa	%	°C	N	µm
6.64	0.0248579	28.1458	30.02	3.30494	424.787
6.66	0.0251996	28.2132	30.02	3.35037	425.804
6.68	0.0255338	28.2804	30.02	3.39480	426.819
6.69	0.0258728	28.3480	30.02	3.43987	427.839
6.71	0.0262090	28.4153	30.02	3.48457	428.855
6.73	0.0265606	28.4829	30.02	3.53131	429.874
6.74	0.0269186	28.5502	30.03	3.57891	430.889
6.76	0.0272753	28.6175	30.03	3.62633	431.906
6.78	0.0276345	28.6850	30.03	3.67410	432.925
6.79	0.0279426	28.7529	30.03	3.71506	433.949
6.81	0.0280393	28.8200	30.03	3.72791	434.962
